cond,microglia,state,GMWM,MA\ma,Lb,ap,mt,Lipinc,mf,mp,Ly,Er
624GM,mc1,healthy,GM,0,5,2,6,2,0,2,1,0
624GM,mc2,healthy,GM,1,0,1,2,0,1,3,0,1
624WM,mc1,healthy,WM,1,0,2,0,0,0,2,0,0
650WM,mc1,demyelination,WM,2,0,11,18,0,0,5,2,9
650WM,mc2,demyelination,WM,0,1,2,0,1,0,4,0,1
651WM,mc1,remyelination,WM,2,2,6,1,0,0,5,0,0
651WM,mc2,remyelination,WM,10,0,4,1,1,0,6,0,0
651WM,mc3,remyelination,WM,6,0,5,8,0,0,1,0,0
651WM,mc4,remyelination,WM,1,1,4,11,0,0,2,0,5
651WM,mc6,remyelination,WM,3,0,5,8,0,0,9,0,5
651WM,mc7,remyelination,WM,1,0,5,3,0,0,3,0,1
651WM,mc8,remyelination,WM,2,0,3,6,0,0,1,0,1
651WM,mc9,remyelination,WM,1,0,7,13,0,0,1,0,2
651WM,mc10,remyelination,WM,1,0,3,1,0,0,0,0,1
652GM,mc1,healthy,GM,1,0,2,1,0,0,2,0,1
652WM,mc1,healthy,WM,7,0,0,0,0,0,0,0,0
666GM,mc1,demyelination,GM,1,0,20,22,0,2,10,0,4
666GM,mc3,demyelination,GM,0,0,5,2,0,0,2,0,1
666GM,mc4,demyelination,GM,0,0,13,3,0,0,1,0,3
666GM,mc5,demyelination,GM,0,0,26,18,0,0,1,0,7
666WM,mc1,demyelination,WM,0,0,10,5,0,0,3,0,2
667WM,mc1,remyelination,WM,2,0,0,2,0,0,0,0,0
